,Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion,Unnamed: 18
177,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,7680000,Semilla de melón,1.3,1.3,0.0,0.1,0.08,1150000.0,115000.0,
178,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,8100000,Papa,65.0,65.0,0.0,1750.45,26.93,3340.0,5846503.0,
179,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,8110000,Semilla de papa,8.1,8.1,0.0,241.62,29.83,4000.0,966480.0,
180,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,8210000,Pepino,815.0,815.0,0.0,22181.99,27.22,2341.49,51938929.52,
181,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,8220000,Semilla de pepino,0.5,0.5,0.0,0.03,0.06,2325200.0,69756.0,
182,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,8440000,Poro (leek),23.0,23.0,0.0,282.0,12.26,4822.87,1360050.0,
183,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,8460000,Quelite,18.0,18.0,0.0,180.0,10.0,910.0,163800.0,
184,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,8490000,Rábano,253.0,253.0,0.0,2251.2,8.9,2905.1,6539952.41,
185,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,8700000,Salvia,1.0,1.0,0.0,1.3,1.3,18000.0,23400.0,
186,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,8710000,Sandía,513.0,513.0,0.0,14218.02,27.72,1770.31,25170265.73,
187,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,8720000,Semilla de sandía,17.0,17.0,0.0,1.53,0.09,1355200.0,2073456.0,
188,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,8770000,Sorgo escobero,95.0,95.0,0.0,390.0,4.11,2740.0,1068600.0,
189,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,8780000,Sorgo forrajero achicalado,7990.0,7990.0,0.0,108587.0,13.59,927.13,100674477.0,
190,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,8810000,Sorgo grano,2890.0,2890.0,0.0,12488.0,4.32,1100.0,13736800.0,
191,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,8970000,Tomate rojo (jitomate),4636.5,4636.5,0.0,168620.65,36.37,3323.22,560362982.13,
192,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,8980000,Tomate verde,643.0,643.0,0.0,8101.64,12.6,4261.15,34522297.61,
193,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,9170000,Verdolaga,21.0,21.0,0.0,231.0,11.0,910.0,210210.0,
194,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,9270000,Zanahoria,42.0,42.0,0.0,711.22,16.93,2767.86,1968557.39,
195,2001,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,15050000,Pastos y praderas,50.0,50.0,0.0,450.0,9.0,1200.0,540000.0,
196,2001,2,Baja California,2,Primavera-Verano,2,Temporal,200201,Tonelada,5480000,Avena forrajera achicalada,68.0,68.0,0.0,154.0,2.26,645.45,99399.3,
197,2001,2,Baja California,2,Primavera-Verano,2,Temporal,200201,Tonelada,5890000,Cebada forrajera achicalada,123.0,123.0,0.0,293.5,2.39,607.24,178224.94,
198,2001,2,Baja California,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,182.0,182.0,0.0,171.08,0.94,1400.0,239512.0,
199,2001,2,Baja California,2,Primavera-Verano,2,Temporal,200201,Tonelada,6840000,Frijol,1008.5,814.5,194.0,457.77,0.56,5904.12,2702729.01,
200,2001,2,Baja California,2,Primavera-Verano,2,Temporal,200201,Tonelada,6900000,Garbanzo grano,3.0,3.0,0.0,6.0,2.0,1200.0,7200.0,
201,2001,2,Baja California,2,Primavera-Verano,2,Temporal,200201,Tonelada,7490000,Maíz grano,1022.5,829.5,193.0,631.08,0.76,1887.36,1191075.15,
202,2001,2,Baja California,2,Primavera-Verano,2,Temporal,200201,Tonelada,8170000,Pastos y praderas seco,6.0,6.0,0.0,12.0,2.0,650.0,7800.0,
203,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,5000000,Aceituna,4185.0,1529.5,0.0,3355.01,2.19,3623.38,12156476.13,
